Date,Price
2018-01-01,
2018-01-02,
2018-01-03,18000.0
2018-01-04,
2018-01-05,18000.0
2018-01-08,18000.0
2018-01-09,
2018-01-10,16000.0
2018-01-11,
2018-01-12,17000.0
2018-01-15,16000.0
2018-01-16,
2018-01-17,16000.0
2018-01-18,
2018-01-19,
2018-01-22,
2018-01-23,15000.0
2018-01-24,17000.0
2018-01-25,
2018-01-26,17000.0
2018-01-29,17000.0
2018-01-30,
2018-01-31,16000.0
2018-02-01,
2018-02-02,16000.0
2018-02-05,16000.0
2018-02-06,
2018-02-07,17000.0
2018-02-08,
2018-02-09,19000.0
2018-02-12,20000.0
2018-02-13,
2018-02-14,
2018-02-15,
2018-02-16,
2018-02-19,16000.0
2018-02-20,
2018-02-21,24000.0
2018-02-22,
2018-02-23,24000.0
2018-02-26,24000.0
2018-02-27,
2018-02-28,24000.0
2018-03-01,
2018-03-02,22000.0
2018-03-05,27000.0
2018-03-06,
2018-03-07,22000.0
2018-03-08,
2018-03-09,26000.0
2018-03-12,
2018-03-13,24000.0
2018-03-14,26000.0
2018-03-15,
2018-03-16,25000.0
2018-03-19,28000.0
2018-03-20,
2018-03-21,26000.0
2018-03-22,
2018-03-23,28000.0
2018-03-26,28000.0
2018-03-27,
2018-03-28,28000.0
2018-03-29,
2018-03-30,
2018-04-02,30000.0
2018-04-03,
2018-04-04,
2018-04-05,
2018-04-06,
2018-04-09,32000.0
2018-04-10,
2018-04-11,
2018-04-12,
2018-04-13,35000.0
2018-04-16,35000.0
2018-04-17,
2018-04-18,
2018-04-19,
2018-04-20,32000.0
2018-04-23,
2018-04-24,
2018-04-25,
2018-04-26,
2018-04-27,
2018-04-30,
2018-05-01,
2018-05-02,30000.0
2018-05-03,
2018-05-04,30000.0
2018-05-07,30000.0
2018-05-08,
2018-05-09,
2018-05-10,
2018-05-11,31000.0
2018-05-14,32000.0
2018-05-15,
2018-05-16,30000.0
2018-05-17,
2018-05-18,32000.0
2018-05-21,30000.0
2018-05-22,
2018-05-23,31000.0
2018-05-24,
2018-05-25,30000.0
2018-05-28,30000.0
2018-05-29,
2018-05-30,30000.0
2018-05-31,
2018-06-01,
2018-06-04,32000.0
2018-06-05,
2018-06-06,32000.0
2018-06-07,
2018-06-08,32500.0
2018-06-11,
2018-06-12,
2018-06-13,
2018-06-14,
2018-06-15,
2018-06-18,
2018-06-19,
2018-06-20,
2018-06-21,
2018-06-22,32000.0
2018-06-25,30000.0
2018-06-26,
2018-06-27,
2018-06-28,
2018-06-29,28000.0
2018-07-02,27000.0
2018-07-03,
2018-07-04,26000.0
2018-07-05,
2018-07-06,26000.0
2018-07-09,22000.0
2018-07-10,
2018-07-11,
2018-07-12,22000.0
2018-07-13,
2018-07-16,
2018-07-17,
2018-07-18,
2018-07-19,20000.0
2018-07-20,20000.0
2018-07-23,20000.0
2018-07-24,
2018-07-25,20000.0
2018-07-26,
2018-07-27,21000.0
2018-07-30,22000.0
2018-07-31,
2018-08-01,
2018-08-02,
2018-08-03,22000.0
2018-08-06,22000.0
2018-08-07,
2018-08-08,20000.0
2018-08-09,
2018-08-10,21000.0
2018-08-13,20000.0
2018-08-14,
2018-08-15,20000.0
2018-08-16,
2018-08-17,
2018-08-20,20000.0
2018-08-21,
2018-08-22,
2018-08-23,
2018-08-24,20000.0
2018-08-27,20000.0
2018-08-28,
2018-08-29,
2018-08-30,
2018-08-31,20000.0
2018-09-03,18000.0
2018-09-04,
2018-09-05,18000.0
2018-09-06,
2018-09-07,18000.0
2018-09-10,18000.0
2018-09-11,
2018-09-12,17000.0
2018-09-13,
